Name,Classification,DIAMETER,Direction,HUB_THICKNESS,MODEL,PITCH,Performance_File,SHAFT_DIAMETER,Weight
apc_propellers_6x2,Propeller,152.4,1,8.13,apc_propellers_6x2,50.8,PER3_6x2.dat,4.76,0.007940000000000001
apc_propellers_9x4_5MR,Propeller,228.6,1,8.64,apc_propellers_9x4_5MR,114.3,PER3_9x45MR.dat,6.35,0.01107
apc_propellers_14x5_5MR,Propeller,355.6,1,9.65,apc_propellers_14x5_5MR,139.7,PER3_14x55MR.dat,6.35,0.03007
apc_propellers_11x8E,Propeller,279.4,1,10.41,apc_propellers_11x8E,203.2,PER3_11x8E.dat,6.35,0.023
apc_propellers_14x14N,Propeller,355.6,1,16.0,apc_propellers_14x14N,355.6,PER3_14x14N.dat,7.94,0.0689
apc_propellers_17x12,Propeller,431.8,1,19.81,apc_propellers_17x12,304.8,PER3_17x12.dat,7.94,0.11993000000000001
apc_propellers_20x13E,Propeller,508.0,1,12.95,apc_propellers_20x13E,330.2,PER3_20x13E.dat,6.35,0.09802
apc_propellers_12x10W,Propeller,304.8,1,13.72,apc_propellers_12x10W,254.0,PER3_12x10W.dat,7.94,0.05189
apc_propellers_11x8EP,Propeller,279.4,-1,10.41,apc_propellers_11x8EP,203.2,PER3_11x8E.dat,6.35,0.023
apc_propellers_8_75x9_0NN,Propeller,222.25,1,14.48,apc_propellers_8_75x9_0NN,228.6,PER3_875x90NN.dat,6.35,0.02608
apc_propellers_9x7_5C,Propeller,228.6,1,12.45,apc_propellers_9x7_5C,190.5,PER3_9x75C.dat,6.35,0.02014
apc_propellers_11x5_5EP,Propeller,279.4,-1,10.41,apc_propellers_11x5_5EP,139.7,PER3_11x55E.dat,6.35,0.023
apc_propellers_18x6W,Propeller,457.2,1,15.24,apc_propellers_18x6W,152.4,PER3_18x6W.dat,7.94,0.13494
apc_propellers_9x7_5E,Propeller,228.6,1,9.91,apc_propellers_9x7_5E,190.5,PER3_9x75E.dat,6.35,0.01801
apc_propellers_9x3_7SF,Propeller,228.6,1,4.06,apc_propellers_9x3_7SF,93.98,PER3_9x37SF.dat,5.5,0.0049900000000000005
apc_propellers_10x10E,Propeller,254.0,1,10.16,apc_propellers_10x10E,254.0,PER3_10x10E.dat,6.35,0.02
apc_propellers_16x10EP,Propeller,406.4,-1,12.19,apc_propellers_16x10EP,254.0,PER3_16x10E.dat,6.35,0.05198
apc_propellers_7x4_1SF,Propeller,177.8,1,4.06,apc_propellers_7x4_1SF,104.14,PER3_7x41SF.dat,5.5,0.0034900000000000005
apc_propellers_10_5x6,Propeller,266.7,1,12.7,apc_propellers_10_5x6,152.4,PER3_105x6.dat,6.35,0.03488
apc_propellers_6x5_5E,Propeller,152.4,1,6.6,apc_propellers_6x5_5E,139.7,PER3_6x55E.dat,6.35,0.00513
apc_propellers_13x4_5MR,Propeller,330.2,1,9.14,apc_propellers_13x4_5MR,114.3,PER3_13x45MR.dat,6.35,0.02409
apc_propellers_13x5_5E,Propeller,330.2,1,10.16,apc_propellers_13x5_5E,139.7,PER3_13x55E.dat,6.35,0.03198
apc_propellers_17x8E,Propeller,431.8,1,12.19,apc_propellers_17x8E,203.2,PER3_17x8E.dat,6.35,0.064
apc_propellers_4_1x4_1EP,Propeller,104.14,-1,7.62,apc_propellers_4_1x4_1EP,104.14,PER3_41x41E.dat,6.35,0.00313
apc_propellers_12x6,Propeller,304.8,1,12.19,apc_propellers_12x6,152.4,PER3_12x6.dat,6.35,0.045950000000000005
apc_propellers_16x5_5MR,Propeller,406.4,1,9.4,apc_propellers_16x5_5MR,139.7,PER3_16x55MR.dat,6.35,0.04395
apc_propellers_8_75x7_5NN,Propeller,222.25,1,14.73,apc_propellers_8_75x7_5NN,190.5,PER3_875x75NN.dat,6.35,0.02894
apc_propellers_12x4_7SFP,Propeller,304.8,-1,7.11,apc_propellers_12x4_7SFP,119.38,PER3_12x47SF.dat,6.35,0.01787
apc_propellers_15x12,Propeller,381.0,1,18.29,apc_propellers_15x12,304.8,PER3_15x12.dat,7.94,0.09099
apc_propellers_4_75x4_75EP,Propeller,120.65,-1,7.62,apc_propellers_4_75x4_75EP,120.65,PER3_475x475E.dat,6.35,0.0039900000000000005
apc_propellers_9_3x3,Propeller,236.22,1,11.43,apc_propellers_9_3x3,76.2,PER3_93x3.dat,6.35,0.02495
apc_propellers_11x4_7SF,Propeller,279.4,1,7.37,apc_propellers_11x4_7SF,119.38,PER3_11x47SF.dat,6.35,0.01501
apc_propellers_17x10WE,Propeller,431.8,1,12.7,apc_propellers_17x10WE,254.0,PER3_17x10WE.dat,6.35,0.084
apc_propellers_14x5N,Propeller,355.6,1,12.95,apc_propellers_14x5N,127.0,PER3_14x5N.dat,7.94,0.049890000000000004
apc_propellers_12x5_5MR,Propeller,304.8,1,9.14,apc_propellers_12x5_5MR,139.7,PER3_12x55MR.dat,6.35,0.02214
apc_propellers_15x4EP,Propeller,381.0,-1,11.43,apc_propellers_15x4EP,101.6,PER3_15x4E.dat,6.35,0.045
apc_propellers_4_75x4_75EC,Propeller,120.65,1,7.62,apc_propellers_4_75x4_75EC,120.65,PER3_475x475EC.dat,6.35,0.00313
